Year Built,Length,Width,Depth,Displacement,Number of Cabins,Number of beds,Fuel Capacity,Engine Hours,PriceClean,Number of views last 7 days,New_Used,Fuel_Type
2017,4,1,0,0,0,0,0,0,3337,226.0,1.0,3
2020,4,1,0,150,0,0,0,0,3490,75.0,1.0,3
0,3,1,0,0,0,0,0,0,3770,124.0,1.0,3
2020,3,1,0,110,0,0,0,0,25900,64.0,1.0,3
1974,6,2,0,0,0,2,50,500,35000,131.0,0.0,3
2019,3,1,0,84,0,0,0,0,3399,58.0,1.0,3
0,4,1,0,75,0,0,0,0,3650,132.0,1.0,3
1999,6,2,0,350,0,0,40,0,3600,474.0,0.0,2
0,3,0,0,75,0,0,0,0,24800,134.0,0.0,3
2019,3,1,0,77,0,0,0,0,3333,45.0,1.0,3
2018,4,1,0,184,0,0,0,0,3300,180.0,1.0,3
1991,5,2,0,0,0,0,80,0,3500,,0.0,2
1987,4,1,0,0,0,0,0,0,3500,239.0,0.0,3
0,4,1,0,59,0,0,0,0,3480,145.0,1.0,3
2004,4,2,0,0,0,0,0,0,3500,69.0,0.0,3
2020,4,1,0,0,0,0,0,0,4600,113.0,1.0,3
1997,3,1,0,0,0,0,20,10,4500,413.0,0.0,2
0,5,1,0,0,0,0,0,0,4500,,0.0,3
0,3,1,0,119,0,0,25,0,4400,263.0,1.0,2
0,4,1,0,94,0,0,0,0,4380,462.0,1.0,3
1985,4,1,0,400,0,0,0,0,30000,124.0,0.0,3
1981,8,2,0,0,1,4,160,2850,4000,265.0,0.0,1
2011,6,2,0,800,2,3,54,9,4000,330.0,0.0,2
1984,6,2,0,0,0,0,50,0,4000,,0.0,3
1984,6,2,0,0,0,0,50,0,4000,,0.0,3
2019,3,1,0,84,0,0,0,0,3999,69.0,1.0,3
0,3,1,0,0,0,0,0,0,4267,198.0,1.0,2
2020,4,1,0,94,0,0,0,0,3930,90.0,1.0,2
1979,5,2,0,0,0,0,0,0,3900,98.0,0.0,2
1985,6,2,0,0,0,0,0,0,3900,383.0,0.0,3
1998,5,1,0,0,0,0,12,0,4200,160.0,0.0,2
0,4,1,0,0,0,0,12,20,4200,295.0,0.0,2
2018,3,1,0,84,0,0,0,0,4030,130.0,1.0,3
1994,5,1,0,0,0,0,10,50,4000,641.0,0.0,2
2020,4,1,0,120,0,0,0,0,3975,512.0,1.0,3
1996,4,1,0,0,0,0,0,0,3950,202.0,0.0,3
1972,5,1,0,700,0,0,70,0,3900,423.0,0.0,2
0,3,1,0,0,0,0,0,0,3890,105.0,1.0,3
0,3,1,0,84,0,0,0,0,3850,120.0,1.0,3
1996,4,1,0,0,0,0,0,0,3800,255.0,0.0,2
1980,6,2,0,0,1,1,0,1130,3800,1804.0,0.0,2
1974,5,1,0,0,1,0,12,3,3800,849.0,0.0,2
0,3,1,0,155,0,0,0,0,3790,144.0,1.0,3
1983,4,1,0,0,0,0,25,0,3500,133.0,0.0,2
1991,4,1,0,0,0,0,0,0,3500,98.0,0.0,2
1992,4,1,0,0,0,0,0,0,3500,393.0,0.0,2
2019,3,1,0,0,0,0,0,0,5170,54.0,1.0,3
1984,5,1,0,0,0,0,0,335,6000,,0.0,2
2017,4,0,0,0,0,0,0,0,5500,201.0,1.0,3
2018,5,2,0,0,0,0,0,0,5500,186.0,1.0,3
